timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1775732113.7910337,17250,97,4.042392253875732,3.658485174179077,5.164735794067383,2.659538745880127,2.2143115997314453,3.3014285564422607,4.065364360809326,5.077067852020264,2.57962965965271,2.1354973316192627
1775732114.7928438,17500,91,3.821613073348999,3.6204845905303955,5.164491176605225,2.5079660415649414,2.199688673019409,2.802503824234009,4.059765338897705,5.075668811798096,2.515259027481079,2.115497589111328
1775732115.7917964,17750,85,3.682964324951172,3.592939615249634,5.167883396148682,2.4315474033355713,2.2118446826934814,2.3854148387908936,4.046571731567383,5.073724269866943,2.50628399848938,2.1002538204193115
1775732116.7898936,18000,79,3.660651445388794,3.591524124145508,5.166841983795166,2.4288668632507324,2.238710641860962,2.479564905166626,4.045671463012695,5.073789119720459,2.5194382667541504,2.0954132080078125
1775732117.7914677,18250,73,3.6726386547088623,3.5911474227905273,5.165992259979248,2.461574077606201,2.2406225204467773,2.367339611053467,4.046318054199219,5.073028564453125,2.534666061401367,2.1079487800598145
1775732118.7899306,18500,67,3.6892154216766357,3.5936200618743896,5.163819789886475,2.471140146255493,2.2435243129730225,2.30796217918396,4.047904968261719,5.070606708526611,2.525519371032715,2.111295223236084
1775732119.7898817,18750,61,3.6855552196502686,3.5939903259277344,5.16235876083374,2.4832613468170166,2.2392778396606445,2.2187981605529785,4.046109676361084,5.068202018737793,2.5288076400756836,2.1253087520599365
1775732120.7914102,19000,55,3.882314920425415,3.6258316040039062,5.1606221199035645,2.589087724685669,2.2944095134735107,2.8334743976593018,4.048498630523682,5.067975997924805,2.5879664421081543,2.1617579460144043
1775732121.7904246,19250,49,4.077073574066162,3.658144235610962,5.159414768218994,2.7006921768188477,2.334876298904419,3.460200548171997,4.052326679229736,5.068378925323486,2.6538267135620117,2.211211919784546
1775732122.7905605,19500,43,4.3035712242126465,3.69206166267395,5.1581597328186035,2.820955276489258,2.379215955734253,3.9811935424804688,4.059018611907959,5.069538593292236,2.7128851413726807,2.254033088684082
1775732123.7902808,19750,37,4.306093692779541,3.6915676593780518,5.1586809158325195,2.8249270915985107,2.374725341796875,3.991135597229004,4.059769630432129,5.071092128753662,2.707381010055542,2.2489101886749268
