timestamp,sample_count,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
1776940485.456479,33000,-10.450429916381836,-10.662446975708008,-11.012868881225586,-11.251696586608887,-11.949813842773438,-11.07878589630127,-10.814691543579102,-11.009245872497559,-11.130434036254883,-11.798162460327148
1776940486.4564261,33500,-10.469736099243164,-10.766168594360352,-11.150591850280762,-11.279752731323242,-11.888297080993652,-11.019035339355469,-10.957148551940918,-11.116449356079102,-11.164582252502441,-11.803255081176758
1776940487.456619,34000,-10.52137565612793,-10.911026954650879,-11.217936515808105,-11.24747085571289,-11.84502124786377,-10.966318130493164,-11.130468368530273,-11.22226333618164,-11.203961372375488,-11.796063423156738
1776940488.4565663,34500,-10.643714904785156,-11.058186531066895,-11.259271621704102,-11.190420150756836,-11.82399845123291,-11.034656524658203,-11.273210525512695,-11.290422439575195,-11.251327514648438,-11.806741714477539
1776940489.45677,35000,-10.665584564208984,-11.189867973327637,-11.274798393249512,-11.145377159118652,-11.812325477600098,-11.091188430786133,-11.4212646484375,-11.33413028717041,-11.27318286895752,-11.80790901184082
1776940490.4564362,35500,-10.676610946655273,-11.164815902709961,-11.209149360656738,-11.100128173828125,-11.78895378112793,-11.180322647094727,-11.406736373901367,-11.303422927856445,-11.29017448425293,-11.794500350952148
1776940491.4566524,36000,-10.686895370483398,-11.111899375915527,-11.159854888916016,-11.108980178833008,-11.771951675415039,-11.212936401367188,-11.368619918823242,-11.270333290100098,-11.308927536010742,-11.819795608520508
1776940492.4564898,36500,-10.671788215637207,-11.0325345993042,-11.146489143371582,-11.167253494262695,-11.757292747497559,-11.169679641723633,-11.311796188354492,-11.22079086303711,-11.294084548950195,-11.877725601196289
1776940493.456408,37000,-10.614721298217773,-10.968053817749023,-11.158071517944336,-11.21412467956543,-11.75767993927002,-11.054282188415527,-11.221208572387695,-11.189712524414062,-11.276544570922852,-11.931079864501953
1776940494.456703,37500,-10.587852478027344,-10.895770072937012,-11.167564392089844,-11.25316047668457,-11.786649703979492,-10.892007827758789,-11.113665580749512,-11.164068222045898,-11.270811080932617,-11.991762161254883
1776940495.456469,38000,-10.597143173217773,-10.90206527709961,-11.180036544799805,-11.285463333129883,-11.829313278198242,-10.72826099395752,-11.039749145507812,-11.150883674621582,-11.258328437805176,-12.026566505432129
1776940496.4563677,38500,-10.602293014526367,-10.856289863586426,-11.113748550415039,-11.283447265625,-11.882585525512695,-10.622957229614258,-10.931234359741211,-11.110204696655273,-11.253463745117188,-12.017753601074219
1776940497.4567,39000,-10.61060905456543,-10.8180570602417,-11.050358772277832,-11.291532516479492,-11.930350303649902,-10.59465503692627,-10.840070724487305,-11.055547714233398,-11.262605667114258,-11.9849853515625
1776940498.4570422,39500,-10.615995407104492,-10.769421577453613,-10.961111068725586,-11.323530197143555,-11.953836441040039,-10.611847877502441,-10.79606819152832,-10.964316368103027,-11.269999504089355,-11.949480056762695
1776940499.496366,40000,-10.579526901245117,-10.69439697265625,-10.884998321533203,-11.362914085388184,-11.966626167297363,-10.598915100097656,-10.743520736694336,-10.880778312683105,-11.2782564163208,-11.91765022277832
1776940500.456964,40500,-10.555465698242188,-10.655688285827637,-10.87324333190918,-11.400659561157227,-11.979181289672852,-10.609643936157227,-10.738595008850098,-10.826422691345215,-11.295486450195312,-11.911928176879883
1776940501.4564073,41000,-10.539011001586914,-10.639577865600586,-10.876092910766602,-11.421186447143555,-11.98056697845459,-10.63051986694336,-10.760801315307617,-10.785196304321289,-11.293607711791992,-11.935240745544434
1776940502.4567592,41500,-10.553441047668457,-10.638077735900879,-10.930283546447754,-11.428167343139648,-12.001409530639648,-10.65368938446045,-10.788952827453613,-10.823213577270508,-11.302266120910645,-11.962442398071289
1776940503.4566345,42000,-10.63150691986084,-10.7053804397583,-11.030258178710938,-11.427115440368652,-12.02937126159668,-10.69361686706543,-10.862184524536133,-10.92094898223877,-11.313807487487793,-12.001618385314941
1776940504.4564655,42500,-10.707036018371582,-10.774145126342773,-11.076288223266602,-11.423444747924805,-12.045825958251953,-10.821136474609375,-10.911661148071289,-10.993870735168457,-11.326112747192383,-12.026970863342285
1776940505.4568408,43000,-10.754114151000977,-10.835554122924805,-11.083027839660645,-11.424907684326172,-12.065485000610352,-10.967988967895508,-10.944330215454102,-11.054434776306152,-11.331193923950195,-12.03955078125
1776940506.456628,43500,-10.78154182434082,-10.905084609985352,-11.097677230834961,-11.418806076049805,-12.064155578613281,-11.066204071044922,-11.004379272460938,-11.115056991577148,-11.335805892944336,-12.027898788452148
1776940507.456387,44000,-10.82116413116455,-10.965458869934082,-11.095501899719238,-11.422127723693848,-12.056519508361816,-11.13385009765625,-11.036445617675781,-11.130178451538086,-11.330375671386719,-12.012580871582031
